2017/03/18 18:59:50 [error] 857#0: *2 kevent() reported that connect() failed (61: Connection refused) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://[::1]:8081/", host: "127.0.0.1"
2017/03/18 18:59:50 [error] 857#0: *4 kevent() reported that connect() failed (61: Connection refused) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://[::1]:8081/", host: "127.0.0.1"
2017/03/18 18:59:50 [error] 857#0: *6 kevent() reported that connect() failed (61: Connection refused) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://[::1]:8081/", host: "127.0.0.1"
2017/03/18 18:59:50 [error] 857#0: *8 kevent() reported that connect() failed (61: Connection refused) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://[::1]:8081/", host: "127.0.0.1"
2017/03/18 18:59:50 [error] 857#0: *10 kevent() reported that connect() failed (61: Connection refused) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://[::1]:8081/", host: "127.0.0.1"
2017/03/18 19:00:20 [error] 857#0: *16177 kevent() reported that connect() failed (60: Operation timed out) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://127.0.0.1:8081/", host: "127.0.0.1"
2017/03/18 19:00:20 [error] 857#0: *16161 kevent() reported that connect() failed (60: Operation timed out) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://127.0.0.1:8081/", host: "127.0.0.1"
2017/03/18 19:00:20 [error] 857#0: *16161 no live upstreams while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://gunicorn/", host: "127.0.0.1"
2017/03/18 19:00:20 [error] 857#0: *16191 kevent() reported that connect() failed (60: Operation timed out) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://127.0.0.1:8081/", host: "127.0.0.1"
2017/03/18 19:00:20 [error] 857#0: *16168 kevent() reported that connect() failed (60: Operation timed out) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET / HTTP/1.0", upstream: "http://127.0.0.1:8081/", host: "127.0.0.1"
